"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"223","littledarkfury","3","WIN","KawaiiTrump",NA,"1-3-0drop","Wigglytuff ex Weezing","Gengar ex Gengar","beaniebrawl"
"224","littledarkfury","2","LOSS","Charmee",NA,"3-2-0drop","Wigglytuff ex Weezing","Pikachu ex Electrode","beaniebrawl"
"225","littledarkfury","1","WIN","Chiefton",NA,"2-3-0drop","Wigglytuff ex Weezing","Pikachu ex Electrode","beaniebrawl"
"228","Soaked_Leaf6","7","LOSS","MommyMIlkers",NA,"8-1-2","Articuno ex Starmie ex","Pikachu ex Raichu","beaniebrawl"
"229","Soaked_Leaf6","6","WIN","nader .",NA,"6-3-0","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"230","Soaked_Leaf6","5","WIN","leomonte",NA,"5-4-0","Articuno ex Starmie ex","Articuno ex Starmie ex","beaniebrawl"
"231","Soaked_Leaf6","4","WIN","alfredo valenti",NA,"4-4-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"232","Soaked_Leaf6","3","WIN","aeroow",NA,"4-5-0","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"233","Soaked_Leaf6","2","WIN","GTlv99",NA,"1-3-0drop","Articuno ex Starmie ex","Marowak ex Sandslash","beaniebrawl"
"234","Soaked_Leaf6","1","WIN","Pizzaface33",NA,"0-1-0drop","Articuno ex Starmie ex","Ninetales Rapidash","beaniebrawl"
"236","Atmosphere","8","WIN","Spectra75",NA,"5-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"237","Atmosphere","7","LOSS","BigTingz",NA,"8-2-1","Mewtwo ex Gardevoir","Exeggutor ex Venusaur ex","beaniebrawl"
"238","Atmosphere","6","WIN","alfredo valenti",NA,"4-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"239","Atmosphere","5","LOSS","KH3PRI",NA,"11-3-1","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"240","Atmosphere","4","WIN","VartanCaftel",NA,"8-3-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"241","Atmosphere","3","WIN","Xatumiko",NA,"2-2-0drop","Mewtwo ex Gardevoir","Gengar ex Kangaskhan","beaniebrawl"
"242","Atmosphere","2","WIN","dont_eat_me",NA,"10-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","beaniebrawl"
"243","Atmosphere","1","WIN","capo72761",NA,"2-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"244","Gamerboy365","9","LOSS","ZOINKS",NA,"8-2-1","Mewtwo ex Gardevoir","Exeggutor ex Victreebel","beaniebrawl"
"246","Gamerboy365","7","WIN","OhSnap",NA,"6-3-1","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"247","Gamerboy365","6","WIN","iHobbit",NA,"4-3-0drop","Mewtwo ex Gardevoir","Dragonite Frosmoth","beaniebrawl"
"248","Gamerboy365","5","LOSS","James Arnold",NA,"6-3-0","Mewtwo ex Gardevoir","Arbok Weezing","beaniebrawl"
"249","Gamerboy365","4","WIN","gugujoguinhos",NA,"5-4-0","Mewtwo ex Gardevoir","Marowak ex Sandslash","beaniebrawl"
"250","Gamerboy365","3","WIN","Akeelo",NA,"5-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"251","Gamerboy365","2","WIN","Guggy",NA,"3-4-0drop","Mewtwo ex Gardevoir","Arbok Weezing","beaniebrawl"
"252","Gamerboy365","1","WIN","laidback",NA,"2-2-0drop","Mewtwo ex Gardevoir","Alakazam Kangaskhan","beaniebrawl"
"254","Rhys G","8","LOSS","BHB・Luna Y",NA,"9-2-1","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"255","Rhys G","7","WIN","GloriWasHere",NA,"7-3-1","Articuno ex Starmie ex","Articuno ex Greninja","beaniebrawl"
"256","Rhys G","6","WIN","Jeudy",NA,"4-3-0drop","Articuno ex Starmie ex","Charizard ex Moltres ex","beaniebrawl"
"257","Rhys G","5","WIN","ikatako",NA,"3-2-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"258","Rhys G","4","WIN","PHIS",NA,"3-4-0drop","Articuno ex Starmie ex","Dragonite Frosmoth","beaniebrawl"
"259","Rhys G","3","WIN","FByStorm",NA,"2-3-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"260","Rhys G","2","WIN","Tt9911",NA,"2-2-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","beaniebrawl"
"261","Rhys G","1","LOSS","Phonytail",NA,"3-2-0drop","Articuno ex Starmie ex","Pikachu ex Zebstrika","beaniebrawl"
"263","GloriWasHere","8","WIN","gugujoguinhos",NA,"5-4-0","Articuno ex Greninja","Marowak ex Sandslash","beaniebrawl"
"264","GloriWasHere","7","LOSS","Rhys G",NA,"7-3-1","Articuno ex Greninja","Articuno ex Starmie ex","beaniebrawl"
"265","GloriWasHere","6","WIN","dont_eat_me",NA,"10-3-0","Articuno ex Greninja","Pikachu ex Zapdos ex","beaniebrawl"
"266","GloriWasHere","5","WIN","AzeL",NA,"5-3-0drop","Articuno ex Greninja","Charizard ex Moltres ex","beaniebrawl"
"267","GloriWasHere","4","WIN","Newmasaur",NA,"2-5-0drop","Articuno ex Greninja","Pikachu ex Zebstrika","beaniebrawl"
"268","GloriWasHere","3","WIN","Z2R Solid Calf",NA,"2-3-0drop","Articuno ex Greninja","Charizard ex Moltres ex","beaniebrawl"
"269","GloriWasHere","2","LOSS","jeffbezos",NA,"4-4-0drop","Articuno ex Greninja","Articuno ex","beaniebrawl"
"270","GloriWasHere","1","WIN","iHobbit",NA,"4-3-0drop","Articuno ex Greninja","Dragonite Frosmoth","beaniebrawl"
"271","Waldmann","9","WIN","iLoveQueijo",NA,"6-3-0","Marowak ex Sandslash","Pikachu ex Zebstrika","beaniebrawl"
"272","Waldmann","8","WIN","AzeL",NA,"5-3-0drop","Marowak ex Sandslash","Charizard ex Moltres ex","beaniebrawl"
"273","Waldmann","7","WIN","savg1000",NA,"4-4-0drop","Marowak ex Sandslash","Pikachu ex Electrode","beaniebrawl"
"274","Waldmann","6","WIN","Miguel Angel L",NA,"3-3-0drop","Marowak ex Sandslash","Mewtwo ex Gardevoir","beaniebrawl"
"275","Waldmann","5","LOSS","PHIS",NA,"3-4-0drop","Marowak ex Sandslash","Dragonite Frosmoth","beaniebrawl"
"276","Waldmann","4","WIN","thatguyinabeanie",NA,"4-4-1","Marowak ex Sandslash","Starmie ex Greninja","beaniebrawl"
"277","Waldmann","3","LOSS","Zeusb",NA,"3-2-1drop","Marowak ex Sandslash","Charizard ex Moltres ex","beaniebrawl"
"279","Waldmann","1","WIN","charismaacheck",NA,"1-2-0drop","Marowak ex Sandslash","Pikachu ex Electrode","beaniebrawl"
"281","Sacredpunish","8","WIN","Jac Thiebeau",NA,"5-3-0drop","Dragonite Weezing","Articuno ex Starmie ex","beaniebrawl"
"282","Sacredpunish","7","LOSS","James Arnold",NA,"6-3-0","Dragonite Weezing","Arbok Weezing","beaniebrawl"
"283","Sacredpunish","6","WIN","Arthur Mesquita",NA,"5-3-0drop","Dragonite Weezing","Arbok Weezing","beaniebrawl"
"284","Sacredpunish","5","WIN","HeLoDe",NA,"3-3-0drop","Dragonite Weezing","Mewtwo ex Gardevoir","beaniebrawl"
"285","Sacredpunish","4","WIN","Tygerr",NA,"2-3-0drop","Dragonite Weezing","Dragonite Jolteon","beaniebrawl"
"286","Sacredpunish","3","WIN","charismaacheck",NA,"1-2-0drop","Dragonite Weezing","Pikachu ex Electrode","beaniebrawl"
"287","Sacredpunish","2","WIN","bananapirate",NA,"1-4-0drop","Dragonite Weezing","Ninetales Rapidash","beaniebrawl"
"288","Sacredpunish","1","LOSS","omen",NA,"2-5-0drop","Dragonite Weezing","Machamp ex","beaniebrawl"
"290","OhSnap","8","WIN","Nidha",NA,"6-3-0","Mewtwo ex Gardevoir","Venusaur ex Lilligant","beaniebrawl"
"291","OhSnap","7","LOSS","Gamerboy365",NA,"7-3-1","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"292","OhSnap","6","WIN","savg1000",NA,"4-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"293","OhSnap","5","WIN","MutantFreak",NA,"4-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"294","OhSnap","4","WIN","RobertBall25",NA,"3-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","beaniebrawl"
"295","OhSnap","3","WIN","RedeyesStorm",NA,"3-3-0drop","Mewtwo ex Gardevoir","Marowak ex Hitmonchan","beaniebrawl"
"296","OhSnap","2","WIN","Tobimaro",NA,"0-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","beaniebrawl"
"297","OhSnap","1","LOSS","jaimeaimyjam",NA,"1-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","beaniebrawl"
"299","Mia Nilian","8","WIN","gustaf",NA,"6-3-0","Pikachu ex Electrode","Pikachu ex Zapdos ex","beaniebrawl"
"300","Mia Nilian","7","WIN","Seizza",NA,"5-4-0","Pikachu ex Electrode","Articuno ex Starmie ex","beaniebrawl"
"301","Mia Nilian","6","WIN","glione",NA,"3-3-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"302","Mia Nilian","5","WIN","MasterShadow",NA,"2-4-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"303","Mia Nilian","4","LOSS","neant",NA,"4-2-0drop","Pikachu ex Electrode","Exeggutor ex Victreebel","beaniebrawl"
"304","Mia Nilian","3","WIN","FreckZ",NA,"4-3-0drop","Pikachu ex Electrode","Pikachu ex Zapdos ex","beaniebrawl"
"305","Mia Nilian","2","WIN","NickShanks",NA,"0-3-0drop","Pikachu ex Electrode","Marowak ex Sandslash","beaniebrawl"
"306","Mia Nilian","1","LOSS","mrbradi",NA,"2-2-0drop","Pikachu ex Electrode","Charizard ex Moltres ex","beaniebrawl"
"308","nacseo","8","WIN","Marioha",NA,"6-3-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"309","nacseo","7","WIN","Exco",NA,"4-4-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"310","nacseo","6","WIN","dada1",NA,"3-3-0drop","Pikachu ex Raichu","Articuno ex Starmie ex","beaniebrawl"
"311","nacseo","5","WIN","RobertBall25",NA,"3-4-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","beaniebrawl"
"312","nacseo","4","WIN","eusouoash",NA,"4-4-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"313","nacseo","3","WIN","arajacha",NA,"0-3-0drop","Pikachu ex Raichu","Charizard ex Moltres ex","beaniebrawl"
"314","nacseo","2","LOSS","hqrcqnq",NA,"4-5-0","Pikachu ex Raichu","Charizard ex Moltres ex","beaniebrawl"
"315","nacseo","1","LOSS","Mantelnor",NA,"4-3-0drop","Pikachu ex Raichu","Articuno ex","beaniebrawl"
"316","James Arnold","9","LOSS","Juniorfrmos",NA,"11-3-0","Arbok Weezing","Articuno ex Starmie ex","beaniebrawl"
"317","James Arnold","8","LOSS","bk7",NA,"8-3-0","Arbok Weezing","Starmie ex Greninja","beaniebrawl"
"318","James Arnold","7","WIN","Sacredpunish",NA,"7-3-1","Arbok Weezing","Dragonite Weezing","beaniebrawl"
"319","James Arnold","6","LOSS","BigTingz",NA,"8-2-1","Arbok Weezing","Exeggutor ex Venusaur ex","beaniebrawl"
"320","James Arnold","5","WIN","Gamerboy365",NA,"7-3-1","Arbok Weezing","Mewtwo ex Gardevoir","beaniebrawl"
"321","James Arnold","4","WIN","Bteks",NA,"5-3-0drop","Arbok Weezing","Pikachu ex Raichu","beaniebrawl"
"322","James Arnold","3","WIN","Crystallenz",NA,"2-3-0drop","Arbok Weezing","Charizard ex Moltres ex","beaniebrawl"
"323","James Arnold","2","WIN","Racsoh",NA,"6-3-0drop","Arbok Weezing","Pikachu ex Electrode","beaniebrawl"
"324","James Arnold","1","WIN","Azelf",NA,"3-3-0drop","Arbok Weezing","Mewtwo ex Gardevoir","beaniebrawl"
"325","Curupira","9","WIN","Raichuomega",NA,"5-4-0","Pikachu ex Zapdos ex","Articuno ex Starmie ex","beaniebrawl"
"326","Curupira","8","LOSS","dont_eat_me",NA,"10-3-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","beaniebrawl"
"327","Curupira","7","LOSS","NinoEx",NA,"8-3-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","beaniebrawl"
"328","Curupira","6","WIN","VartanCaftel",NA,"8-3-0","Pikachu ex Zapdos ex","Pikachu ex Electrode","beaniebrawl"
"329","Curupira","5","LOSS","MaximusAle",NA,"10-2-0","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","beaniebrawl"
"330","Curupira","4","WIN","willschoeff",NA,"3-2-0drop","Pikachu ex Zapdos ex","Pikachu ex Electrode","beaniebrawl"
"331","Curupira","3","WIN","Captain85244",NA,"3-3-0drop","Pikachu ex Zapdos ex","Ninetales Rapidash","beaniebrawl"
"332","Curupira","2","WIN","Alarill",NA,"5-4-0","Pikachu ex Zapdos ex","Articuno ex","beaniebrawl"
"333","Curupira","1","WIN","sugry15",NA,"2-3-0drop","Pikachu ex Zapdos ex","Starmie ex Golduck","beaniebrawl"
"334","iLoveQueijo","9","LOSS","Waldmann",NA,"7-3-1","Pikachu ex Zebstrika","Marowak ex Sandslash","beaniebrawl"
"335","iLoveQueijo","8","WIN","BucketHat",NA,"5-4-0drop","Pikachu ex Zebstrika","Articuno ex Starmie ex","beaniebrawl"
"336","iLoveQueijo","7","LOSS","Juan Rodriguez",NA,"8-3-1","Pikachu ex Zebstrika","Machamp ex Marowak ex","beaniebrawl"
"337","iLoveQueijo","6","WIN","kokevich",NA,"5-4-0","Pikachu ex Zebstrika","Pikachu ex Electrode","beaniebrawl"
"338","iLoveQueijo","5","WIN","byjoju",NA,"3-2-0drop","Pikachu ex Zebstrika","Pikachu ex Electrode","beaniebrawl"
"339","iLoveQueijo","4","LOSS","KatsuJinCard",NA,"5-4-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","beaniebrawl"
"340","iLoveQueijo","3","WIN","tilti1",NA,"2-2-0drop","Pikachu ex Zebstrika","Marowak ex Sandslash","beaniebrawl"
"341","iLoveQueijo","2","WIN","GHXM2G",NA,"2-2-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","beaniebrawl"
"342","iLoveQueijo","1","WIN","eusouoash",NA,"4-4-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","beaniebrawl"
"343","Nidha","9","WIN","kennydano",NA,"5-4-0","Venusaur ex Lilligant","Charizard ex Moltres ex","beaniebrawl"
"344","Nidha","8","LOSS","OhSnap",NA,"6-3-1","Venusaur ex Lilligant","Mewtwo ex Gardevoir","beaniebrawl"
"345","Nidha","7","WIN","Artheek",NA,"4-3-0drop","Venusaur ex Lilligant","Articuno ex Starmie ex","beaniebrawl"
"346","Nidha","6","LOSS","littledarkfury",NA,"7-2-2","Venusaur ex Lilligant","Wigglytuff ex Weezing","beaniebrawl"
"347","Nidha","5","WIN","Rulacio",NA,"3-2-0drop","Venusaur ex Lilligant","Venusaur ex Lilligant","beaniebrawl"
"348","Nidha","4","WIN","DrGrindal",NA,"2-3-0drop","Venusaur ex Lilligant","Dragonite Jolteon","beaniebrawl"
"349","Nidha","3","WIN","two",NA,"1-2-0drop","Venusaur ex Lilligant","Alakazam Muk","beaniebrawl"
"350","Nidha","2","WIN","Ylenar",NA,"0-3-0drop","Venusaur ex Lilligant","Mewtwo ex Gardevoir","beaniebrawl"
"351","Nidha","1","LOSS","BHB・Luna Y",NA,"9-2-1","Venusaur ex Lilligant","Mewtwo ex Gardevoir","beaniebrawl"
"352","nader .","9","WIN","kokevich",NA,"5-4-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"353","nader .","8","LOSS","Arylide",NA,"8-3-1","Mewtwo ex Gardevoir","Marowak ex Pidgeot","beaniebrawl"
"354","nader .","7","LOSS","Nezym",NA,"12-1-2","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","beaniebrawl"
"355","nader .","6","LOSS","Soaked_Leaf6",NA,"7-2-2","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"356","nader .","5","WIN","KatsuJinCard",NA,"5-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"357","nader .","4","WIN","MrRishi",NA,"3-3-0drop","Mewtwo ex Gardevoir","Farfetch'd Greninja","beaniebrawl"
"358","nader .","3","WIN","KoNoRd",NA,"3-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"359","nader .","2","WIN","JoelRG5",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","beaniebrawl"
"360","nader .","1","WIN","Mejes",NA,"1-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"361","Pokelucas","9","LOSS","VartanCaftel",NA,"8-3-0","Pikachu ex Raichu","Pikachu ex Electrode","beaniebrawl"
"362","Pokelucas","8","WIN","Arthur Mesquita",NA,"5-3-0drop","Pikachu ex Raichu","Arbok Weezing","beaniebrawl"
"363","Pokelucas","7","WIN","KatsuJinCard",NA,"5-4-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"364","Pokelucas","6","LOSS","BHB・Luna Y",NA,"9-2-1","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"365","Pokelucas","5","WIN","Darffan",NA,"4-4-0drop","Pikachu ex Raichu","Pikachu ex Electrode","beaniebrawl"
"366","Pokelucas","4","WIN","Bankshotbob",NA,"2-5-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"367","Pokelucas","3","WIN","Xuxsoul",NA,"1-2-0drop","Pikachu ex Raichu","Ninetales Rapidash","beaniebrawl"
"368","Pokelucas","2","WIN","Heppie",NA,"5-4-0","Pikachu ex Raichu","Pikachu ex Zapdos ex","beaniebrawl"
"369","Pokelucas","1","LOSS","Comatosis",NA,"3-3-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","beaniebrawl"
"370","Jhonnycito","9","WIN","SonicF",NA,"5-4-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","beaniebrawl"
"371","Jhonnycito","8","LOSS","VartanCaftel",NA,"8-3-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"372","Jhonnycito","7","WIN","FreckZ",NA,"4-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","beaniebrawl"
"373","Jhonnycito","6","LOSS","gugujoguinhos",NA,"5-4-0","Mewtwo ex Gardevoir","Marowak ex Sandslash","beaniebrawl"
"374","Jhonnycito","5","WIN","Phonytail",NA,"3-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","beaniebrawl"
"375","Jhonnycito","4","WIN","laidback",NA,"2-2-0drop","Mewtwo ex Gardevoir","Alakazam Kangaskhan","beaniebrawl"
"376","Jhonnycito","3","WIN","Sensaga",NA,"4-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"377","Jhonnycito","2","LOSS","Yain",NA,"3-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"378","Jhonnycito","1","WIN","GadgetBug",NA,"0-1-0drop","Mewtwo ex Gardevoir","Starmie ex Greninja","beaniebrawl"
"379","gustaf","9","WIN","gugujoguinhos",NA,"5-4-0","Pikachu ex Zapdos ex","Marowak ex Sandslash","beaniebrawl"
"380","gustaf","8","LOSS","Mia Nilian",NA,"6-3-1","Pikachu ex Zapdos ex","Pikachu ex Electrode","beaniebrawl"
"381","gustaf","7","WIN","Alelu1234",NA,"4-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","beaniebrawl"
"382","gustaf","6","WIN","JohnSubbi",NA,"4-5-0","Pikachu ex Zapdos ex","Ninetales Rapidash","beaniebrawl"
"383","gustaf","5","LOSS","Juan Rodriguez",NA,"8-3-1","Pikachu ex Zapdos ex","Machamp ex Marowak ex","beaniebrawl"
"384","gustaf","4","LOSS","excaliblarg",NA,"8-3-1","Pikachu ex Zapdos ex","Ninetales Rapidash","beaniebrawl"
"385","gustaf","3","WIN","mrbradi",NA,"2-2-0drop","Pikachu ex Zapdos ex","Charizard ex Moltres ex","beaniebrawl"
"386","gustaf","2","WIN","Z2R Solid Calf",NA,"2-3-0drop","Pikachu ex Zapdos ex","Charizard ex Moltres ex","beaniebrawl"
"387","gustaf","1","WIN","DiSLion",NA,"0-3-0drop","Pikachu ex Zapdos ex","Articuno ex Tentacruel","beaniebrawl"
"388","jimindobts123","9","LOSS","dont_eat_me",NA,"10-3-0","Pikachu ex Electrode","Pikachu ex Zapdos ex","beaniebrawl"
"389","jimindobts123","8","WIN","Freewer",NA,"5-3-0drop","Pikachu ex Electrode","Ninetales Rapidash","beaniebrawl"
"390","jimindobts123","7","WIN","Jeudy",NA,"4-3-0drop","Pikachu ex Electrode","Charizard ex Moltres ex","beaniebrawl"
"391","jimindobts123","6","WIN","akapelu",NA,"4-5-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"392","jimindobts123","5","WIN","WhiteMan",NA,"2-3-0drop","Pikachu ex Electrode","Articuno ex Dragonite","beaniebrawl"
"393","jimindobts123","4","LOSS","NinoEx",NA,"8-3-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"394","jimindobts123","3","WIN","jreamx",NA,"1-4-0drop","Pikachu ex Electrode","Marowak ex Pidgeot","beaniebrawl"
"395","jimindobts123","2","WIN","FAKERE",NA,"0-3-0drop","Pikachu ex Electrode","Charizard ex Moltres ex","beaniebrawl"
"396","jimindobts123","1","LOSS","Luke Shore-Jones",NA,"8-3-0","Pikachu ex Electrode","Pikachu ex Raichu","beaniebrawl"
"397","MiiiMario","9","WIN","thatguyinabeanie",NA,"4-4-1","Starmie ex Tentacruel","Starmie ex Greninja","beaniebrawl"
"398","MiiiMario","8","WIN","Sushikraver",NA,"4-4-0drop","Starmie ex Tentacruel","Marowak ex Sandslash","beaniebrawl"
"399","MiiiMario","7","LOSS","Ryzeoverrun",NA,"8-3-1","Starmie ex Tentacruel","Pikachu ex Electrode","beaniebrawl"
"400","MiiiMario","6","WIN","Gil20mo",NA,"3-3-0drop","Starmie ex Tentacruel","Mewtwo ex Gardevoir","beaniebrawl"
"401","MiiiMario","5","WIN","OncomingTraffic",NA,"2-3-0drop","Starmie ex Tentacruel","Mewtwo ex Gardevoir","beaniebrawl"
"402","MiiiMario","4","LOSS","Krohnos",NA,"3-2-0drop","Starmie ex Tentacruel","Melmetal Weezing","beaniebrawl"
"403","MiiiMario","3","WIN","Smash_TS",NA,"2-3-0drop","Starmie ex Tentacruel","Marowak ex Sandslash","beaniebrawl"
"404","MiiiMario","2","LOSS","Phonytail",NA,"3-2-0drop","Starmie ex Tentacruel","Pikachu ex Zebstrika","beaniebrawl"
"405","MiiiMario","1","WIN","Manji",NA,"2-3-0drop","Starmie ex Tentacruel","Mewtwo ex Gardevoir","beaniebrawl"
"406","Ant ","9","WIN","Spectra75",NA,"5-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"407","Ant ","8","WIN","hqrcqnq",NA,"4-5-0","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"408","Ant ","7","LOSS","Fang1313",NA,"5-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","beaniebrawl"
"409","Ant ","6","WIN","MrRishi",NA,"3-3-0drop","Mewtwo ex Gardevoir","Farfetch'd Greninja","beaniebrawl"
"410","Ant ","5","WIN","sugry15",NA,"2-3-0drop","Mewtwo ex Gardevoir","Starmie ex Golduck","beaniebrawl"
"411","Ant ","4","LOSS","littledarkfury",NA,"7-2-2","Mewtwo ex Gardevoir","Wigglytuff ex Weezing","beaniebrawl"
"412","Ant ","3","WIN","Sushikraver",NA,"4-4-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","beaniebrawl"
"413","Ant ","2","LOSS","dada1",NA,"3-3-0drop","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"414","Ant ","1","WIN","arajacha",NA,"0-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"415","Marioha","9","WIN","Seizza",NA,"5-4-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"416","Marioha","8","LOSS","nacseo",NA,"6-3-1","Mewtwo ex Gardevoir","Pikachu ex Raichu","beaniebrawl"
"417","Marioha","7","WIN","owntempo",NA,"4-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"418","Marioha","6","WIN","Zeusb",NA,"3-2-1drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"419","Marioha","5","WIN","Birikinn",NA,"2-3-0drop","Mewtwo ex Gardevoir","Alakazam Weezing","beaniebrawl"
"420","Marioha","4","LOSS","AnaLystX",NA,"3-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Raichu","beaniebrawl"
"421","Marioha","3","WIN","DarthTator22",NA,"1-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"422","Marioha","2","WIN","OrangePurple",NA,"0-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","beaniebrawl"
"423","Marioha","1","LOSS","Freewer",NA,"5-3-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","beaniebrawl"
"424","ItsMik3yTime","9","WIN","BucketHat",NA,"5-4-0drop","Charizard ex Moltres ex","Articuno ex Starmie ex","beaniebrawl"
"425","ItsMik3yTime","8","WIN","Sensaga",NA,"4-4-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","beaniebrawl"
"426","ItsMik3yTime","7","LOSS","Racsoh",NA,"6-3-0drop","Charizard ex Moltres ex","Pikachu ex Electrode","beaniebrawl"
"427","ItsMik3yTime","6","WIN","Mxyon",NA,"3-3-0drop","Charizard ex Moltres ex","Arbok Pidgeot","beaniebrawl"
"428","ItsMik3yTime","5","WIN","BlackMarvelGaming",NA,"2-3-0drop","Charizard ex Moltres ex","Exeggutor ex Venusaur ex","beaniebrawl"
"429","ItsMik3yTime","4","WIN","GTlv99",NA,"1-3-0drop","Charizard ex Moltres ex","Marowak ex Sandslash","beaniebrawl"
"430","ItsMik3yTime","3","WIN","Bassiouny92",NA,"0-3-0drop","Charizard ex Moltres ex","Pikachu ex Electrode","beaniebrawl"
"431","ItsMik3yTime","2","LOSS","Resh",NA,"9-3-1","Charizard ex Moltres ex","Pikachu ex Electrode","beaniebrawl"
"433","Kurnia Indra","9","WIN","KatsuJinCard",NA,"5-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"434","Kurnia Indra","8","WIN","Darffan",NA,"4-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
